# Bắt buộc | A unique content ID for the item. Use the item's SKU if you can. Each content ID must appear only once in your catalog. To run dynamic ads this ID must exactly match the content ID for the same item in your Meta Pixel code. Character limit: 100,# Bắt buộc | A specific and relevant title for the item. See title specifications: https://www.facebook.com/business/help/2104231189874655 Character limit: 200,# Bắt buộc | A short and relevant description of the item. Include specific or unique product features like material or color. Use plain text and don't enter text in all capital letters. See description specifications: https://www.facebook.com/business/help/2302017289821154 Character limit: 9999,# Bắt buộc | The current availability of the item. | Giá trị được hỗ trợ: in stock; out of stock,# Bắt buộc | The current condition of the item. | Giá trị được hỗ trợ: new; used,# Bắt buộc | The price of the item. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma.,# Bắt buộc | The URL of the specific product page where people can buy the item.,# Bắt buộc | The URL for the main image of your item. Images must be in a supported format (JPG/GIF/PNG) and at least 500 x 500 pixels.,# Bắt buộc | Tên thương hiệu của mặt hàng. Giới hạn ký tự: 100.,# Không bắt buộc | The Google product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Không bắt buộc | The Facebook product category for the item. Learn more about product categories: https://www.facebook.com/business/help/526764014610932.,# Không bắt buộc | The quantity of this item you have to sell on Facebook and Instagram with checkout. Must be 1 or higher or the item won't be buyable,# Không bắt buộc | The discounted price of the item if it's on sale. Format the price as a number followed by the 3-letter currency code (ISO 4217 standards). Use a period (.) as the decimal point; don't use a comma. A sale price is required if you want to use an overlay for discounted prices.,# Không bắt buộc | The time range for your sale period. Includes the date and time/time zone when your sale starts and ends. If this field is blank any items with a sale_price remain on sale until you remove the sale price. Use this format: YYYY-MM-DDT23:59+00:00/YYYY-MM-DDT23:59+00:00. Enter the start date as YYYY-MM-DD. Enter a 'T'. Enter the start time in 24-hour format (00:00 to 23:59) followed by the UTC time zone (-12:00 to +14:00). Enter '/' and then repeat the same format for your end date and time. The example row below uses PST time zone (-08:00).,# Không bắt buộc | Use this field to create variants of the same item. Enter the same group ID for all variants within a group. Learn more about variants: https://www.facebook.com/business/help/2256580051262113 Character limit: 100.,# Không bắt buộc | Giới tính của người mà mặt hàng đang nhắm mục tiêu. | Giá trị được hỗ trợ: female; male; unisex,# Không bắt buộc | The color of the item. Use one or more words to describe the color. Don't use a hex code. Character limit: 200.,# Không bắt buộc | The size of the item written as a word or abbreviation or number. For example: small; XL; 12. Character limit: 200.,# Không bắt buộc | Nhóm tuổi mà mặt hàng đang nhắm mục tiêu. | Giá trị được hỗ trợ: adult; all ages; infant; kids; newborn; teen; toddler,# Không bắt buộc | Chất liệu của mặt hàng; chẳng hạn như cotton; denim hoặc da. Giới hạn ký tự: 200.,# Không bắt buộc | The pattern or graphic print on the item. Character limit: 100.,# Không bắt buộc | Thông tin vận chuyển của mặt hàng. Định dạng là Quốc gia:Khu vực:Dịch vụ:Giá. Giá hiển thị kèm cả mã đơn vị tiền tệ gồm 3 chữ cái theo tiêu chuẩn ISO 4217. Để sử dụng lớp phủ vận chuyển miễn phí trong quảng cáo; hãy nhập giá là 0.0. Sử dụng dấu chấm phẩy ";" hoặc dấu phẩy ";" để phân cách nhiều thông tin vận chuyển cho các khu vực hoặc quốc gia khác nhau. Chỉ những người ở khu vực/quốc gia đã chỉ định mới nhìn thấy thông tin vận chuyển cho khu vực/quốc gia đó. Bạn có thể bỏ phần khu vực (vẫn giữ 2 dấu "::") nếu thông tin vận chuyển trên toàn quốc là như nhau.,# Không bắt buộc | The shipping weight of the item. Include the unit of measurement (lb/oz/g/kg).,# Không bắt buộc | URL cho video sản phẩm. Liên kết phải là file video trên trang web lưu trữ file; không phải trình phát video. Video phải ở định dạng được hỗ trợ (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob hoặc .wmv).,# Không bắt buộc | URL cho video sản phẩm. Liên kết phải là file video trên trang web lưu trữ file; không phải trình phát video. Video phải ở định dạng được hỗ trợ (.3g2; .3gp; .3gpp; .asf; .avi; .dat; .divx; .dv; .f4v; .flv; .gif; .m2ts; .m4v; .mkv; .mod; .mov; .mp4; .mpe; .mpeg; .mpeg4; .mpg; .mts; .nsv; .ogm; .ogv; .qt; .tod; .ts; .vob hoặc .wmv).,# Không bắt buộc | Mã số sản phẩm thương mại toàn cầu (GTIN). Nên dùng để giúp phân loại mặt hàng. Có thể xuất hiện trên mã vạch; bao bì hoặc bìa sách. Chỉ cung cấp GTIN nếu bạn chắc chắn mã đó chính xác. GTIN gồm các loại sau: UPC (12 chữ số); EAN (13 chữ số); JAN (8 hoặc 13 chữ số); ISBN (13 chữ số) hoặc ITF-14 (14 chữ số),# Không bắt buộc | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Không bắt buộc | Add labels to products to help filter them into product sets. Max characters: 110 per label; 5000 labels per product,# Không bắt buộc | Mô tả phong cách thời trang của mặt hàng này.
id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,material,pattern,shipping,shipping_weight,video[0].url,video[0].tag[0],gtin,product_tags[0],product_tags[1],style[0]
gong-kinh-can-kim-loai-den-form-vuong-thanh-lich-nhe-em-unisex,"Gọng Kính Cận Kim Loại Đen Form Vuông Thanh Lịch – Nhẹ Êm, Unisex","Gọng Kính Cận Kim Loại Đen Form Vuông Thanh Lịch – Nhẹ Êm, Unisex

 Thông số kỹ thuật:
- Chất liệu: Titanium siêu nhẹ
- Kích thước: 136 × 50 × 19 × 142 mm
- Trọng lượng: ~26g
- Phù hợp: Nam

 Ưu điểm nổi bật:
- Đệm mũi silicon mềm, đeo êm không đau sống mũi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,1800000 VND,https://sieuthimatkinh.vn/p/gong-kinh-can-kim-loai-den-form-vuong-thanh-lich-nhe-em-unisex,https://sieuthimatkinh.vn/products/gong-kinh-can-kim-loai-den-form-vuong-thanh-lich-nhe-em-unisex.jpg,SMK,Apparel & Accessories > Clothing Accessories > Sunglasses,,,600000 VND,,,male,Đen,,adult,Titanium,,,26 g,,,,gong-kinh,500k-1tr,vuong
gong-kinh-camel-alloy-c1911-su-ket-hop-hoan-hao-giua-co-dien-hien-dai,Gọng Kính Camel Alloy C1911 – Sự Kết Hợp Hoàn Hảo Giữa Cổ Điển & Hiện Đại,"Gọng Kính Camel Alloy C1911 – Sự Kết Hợp Hoàn Hảo Giữa Cổ Điển & Hiện Đại

 Thông số kỹ thuật:
- Chất liệu: Nhựa TR90 dẻo bền
- Kích thước: 138 × 55 × 18 × 148 mm
- Trọng lượng: ~21g
- Phù hợp: Unisex

 Ưu điểm nổi bật:
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,680000 VND,https://sieuthimatkinh.vn/p/gong-kinh-camel-alloy-c1911-su-ket-hop-hoan-hao-giua-co-dien-hien-dai,https://sieuthimatkinh.vn/products/gong-kinh-camel-alloy-c1911-su-ket-hop-hoan-hao-giua-co-dien-hien-dai.jpg,Camel,Apparel & Accessories > Clothing Accessories > Sunglasses,,,380000 VND,,,unisex,,,adult,TR90,,,21 g,,,,gong-kinh,300k-500k,
mat-kinh-gong-kim-loai-cao-cap-thiet-ke-geometric-hien-dai,Mắt Kính Gọng Kim Loại Cao Cấp – Thiết Kế Geometric Hiện Đại,"Mắt Kính Gọng Kim Loại Cao Cấp – Thiết Kế Geometric Hiện Đại

 Thông số kỹ thuật:
- Chất liệu: Titanium siêu nhẹ
- Kích thước: 134 × 50 × 16 × 143 mm
- Trọng lượng: ~21g
- Phù hợp: Nam

 Ưu điểm nổi bật:
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Càng kính linh hoạt, ôm tai tốt không trượt

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,650000 VND,https://sieuthimatkinh.vn/p/mat-kinh-gong-kim-loai-cao-cap-thiet-ke-geometric-hien-dai,https://sieuthimatkinh.vn/products/mat-kinh-gong-kim-loai-cao-cap-thiet-ke-geometric-hien-dai.jpg,SMK,Apparel & Accessories > Clothing Accessories > Sunglasses,,,350000 VND,,,male,,,adult,Titanium,,,21 g,,,,gong-kinh,300k-500k,geometric
benedict-nua-vien-nam,BENEDICT – nửa viền nam,"BENEDICT – nửa viền nam

 Thông số kỹ thuật:
- Chất liệu: Kim loại cao cấp
- Kích thước: 132 × 51 × 19 × 141 mm
- Trọng lượng: ~23g
- Phù hợp: Nữ

 Ưu điểm nổi bật:
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Đệm mũi silicon mềm, đeo êm không đau sống mũi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,600000 VND,https://sieuthimatkinh.vn/p/benedict-nua-vien-nam,https://sieuthimatkinh.vn/products/benedict-nua-vien-nam.jpg,BENEDICT,Apparel & Accessories > Clothing Accessories > Sunglasses,,,500000 VND,,,female,,,adult,Metal,,,23 g,,,,gong-kinh,300k-500k,browline
caa-titanium-ip,CA&A Titanium IP,"CA&A Titanium IP

 Thông số kỹ thuật:
- Chất liệu: Kim loại cao cấp
- Kích thước: 147 × 55 × 20 × 137 mm
- Trọng lượng: ~25g
- Phù hợp: Unisex

 Ưu điểm nổi bật:
- Đệm mũi silicon mềm, đeo êm không đau sống mũi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,1000000 VND,https://sieuthimatkinh.vn/p/caa-titanium-ip,https://sieuthimatkinh.vn/products/caa-titanium-ip.jpg,CA&A,Apparel & Accessories > Clothing Accessories > Sunglasses,,,900000 VND,,,unisex,,,adult,Metal,,,25 g,,,,gong-kinh,500k-1tr,
gong-kinh-beta-titanium-srh55002-dang-cap-sieu-nhe-thiet-ke-thoi-thuong,"Gọng Kính Beta-Titanium SRH55002 – Đẳng Cấp Siêu Nhẹ, Thiết Kế Thời Thượng","Gọng Kính Beta-Titanium SRH55002 – Đẳng Cấp Siêu Nhẹ, Thiết Kế Thời Thượng

 Thông số kỹ thuật:
- Chất liệu: Acetate cao cấp
- Kích thước: 142 × 51 × 19 × 141 mm
- Trọng lượng: ~27g
- Phù hợp: Nam

 Ưu điểm nổi bật:
- Càng kính linh hoạt, ôm tai tốt không trượt
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh
- Đệm mũi silicon mềm, đeo êm không đau sống mũi

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,600000 VND,https://sieuthimatkinh.vn/p/gong-kinh-beta-titanium-srh55002-dang-cap-sieu-nhe-thiet-ke-thoi-thuong,https://sieuthimatkinh.vn/products/gong-kinh-beta-titanium-srh55002-dang-cap-sieu-nhe-thiet-ke-thoi-thuong.jpg,SMK,Apparel & Accessories > Clothing Accessories > Sunglasses,,,300000 VND,,,male,,,adult,Acetate,,,27 g,,,,gong-kinh,300k-500k,
gong-kinh-c-b-f-1983-phong-cach-classic-tron-sang-trong,Gọng Kính C.B.F 1983 – Phong Cách Classic Tròn Sang Trọng,"Gọng Kính C.B.F 1983 – Phong Cách Classic Tròn Sang Trọng

 Thông số kỹ thuật:
- Chất liệu: Hợp kim Alloy
- Kích thước: 137 × 53 × 17 × 149 mm
- Trọng lượng: ~24g
- Phù hợp: Nữ

 Ưu điểm nổi bật:
- Đệm mũi silicon mềm, đeo êm không đau sống mũi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,600000 VND,https://sieuthimatkinh.vn/p/gong-kinh-c-b-f-1983-phong-cach-classic-tron-sang-trong,https://sieuthimatkinh.vn/products/gong-kinh-c-b-f-1983-phong-cach-classic-tron-sang-trong.jpg,C.B.F,Apparel & Accessories > Clothing Accessories > Sunglasses,,,300000 VND,,,female,Hồng,,adult,Alloy,,,24 g,,,,gong-kinh,300k-500k,tron
gong-kinh-camel-alloy-form-bat-giac,Gọng kính Camel Alloy – Form bát giác,"Gọng kính Camel Alloy – Form bát giác

 Thông số kỹ thuật:
- Chất liệu: Titanium siêu nhẹ
- Kích thước: 149 × 54 × 20 × 147 mm
- Trọng lượng: ~23g
- Phù hợp: Nữ

 Ưu điểm nổi bật:
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh
- Càng kính linh hoạt, ôm tai tốt không trượt
- Đệm mũi silicon mềm, đeo êm không đau sống mũi

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,700000 VND,https://sieuthimatkinh.vn/p/gong-kinh-camel-alloy-form-bat-giac,https://sieuthimatkinh.vn/products/gong-kinh-camel-alloy-form-bat-giac.jpg,Camel,Apparel & Accessories > Clothing Accessories > Sunglasses,,,590000 VND,,,female,,,adult,Titanium,,,23 g,,,,gong-kinh,500k-1tr,geometric
gong-kinh-camel-alloy-form-luc-giac-thoi-trang,Gọng kính Camel Alloy – Form lục giác thời trang,"Gọng kính Camel Alloy – Form lục giác thời trang

 Thông số kỹ thuật:
- Chất liệu: Titanium siêu nhẹ
- Kích thước: 133 × 50 × 20 × 145 mm
- Trọng lượng: ~25g
- Phù hợp: Unisex

 Ưu điểm nổi bật:
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi
- Càng kính linh hoạt, ôm tai tốt không trượt
- Đệm mũi silicon mềm, đeo êm không đau sống mũi

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,700000 VND,https://sieuthimatkinh.vn/p/gong-kinh-camel-alloy-form-luc-giac-thoi-trang,https://sieuthimatkinh.vn/products/gong-kinh-camel-alloy-form-luc-giac-thoi-trang.jpg,Camel,Apparel & Accessories > Clothing Accessories > Sunglasses,,,580000 VND,,,unisex,Trắng,,adult,Titanium,,,25 g,,,,gong-kinh,500k-1tr,geometric
gong-kinh-camel-alloy-form-vuong-bo-canh,Gọng kính Camel Alloy – Form vuông bo cạnh,"Gọng kính Camel Alloy – Form vuông bo cạnh

 Thông số kỹ thuật:
- Chất liệu: Nhựa TR90 dẻo bền
- Kích thước: 149 × 48 × 18 × 138 mm
- Trọng lượng: ~24g
- Phù hợp: Unisex

 Ưu điểm nổi bật:
- Phù hợp lắp tròng cận, loạn, viễn, chống ánh sáng xanh
- Càng kính linh hoạt, ôm tai tốt không trượt
- Đệm mũi silicon mềm, đeo êm không đau sống mũi
- Trọng lượng siêu nhẹ, đeo cả ngày không mỏi

️ Cam kết:
- Bảo hành 12 tháng gọng kính
- 1 đổi 1 nếu lỗi do nhà sản xuất
- Hỗ trợ đo mắt miễn phí tại cửa hàng
- Giao hàng nhanh toàn quốc",in stock,new,700000 VND,https://sieuthimatkinh.vn/p/gong-kinh-camel-alloy-form-vuong-bo-canh,https://sieuthimatkinh.vn/products/gong-kinh-camel-alloy-form-vuong-bo-canh.jpg,Camel,Apparel & Accessories > Clothing Accessories > Sunglasses,,,580000 VND,,,unisex,,,adult,TR90,,,24 g,,,,gong-kinh,500k-1tr,vuong
